Name,Population,HousingTransaction,Latitude,Longitude,Mean Salary
Johor,4100900,40561,1.937344,103.366585,3212
Kedah,2187500,13626,6.155672,100.569649,2859
Kelantan,1857600,5886,5.145506,101.654137,2882
Kuala Lumpur,1998600,13752,3.1412,101.6865,4521
Melaka,1027500,10519,2.3463,102.2531,3311
Negeri Sembilan,1224300,17109,2.8797,102.1643,3375
Pahang,1642700,11420,3.5,102.5,3124
Perak,2540400,27819,4.69395,101.117577,2973
Perlis,292700,1280,6.443589,100.216599,2968
Penang,1771600,18663,5.285153,100.456238,3557
Putrajaya,119200,330,2.9264,101.696,4858
Sabah,3592800,4494,5.9804,116.0735,3127
Sarawak,2509500,12089,1.5533,110.3592,3158
Selangor,7205300,25015,3.0738,101.5183,3885
Terengganu,1209400,7255,5.3333,103.1333,2898
